dTE_pos,dW_pos,dH_pos,dTE_zero,dW_zero,dH_zero,dTE_neg,dW_neg,dH_neg
0.01811887758068742,0.389953776813293,0.0,0.005740459898915362,-0.5226041137517115,0.0,-0.043017269885382986,-0.6533580612554744,0.0
0.027722433511343736,0.2501631641471036,0.0,0.04198802949643182,-0.13215025988478857,0.0,-0.015403075959165624,-0.39437371671405685,0.0
0.032182398674469925,0.5445102707092957,0.0,0.01936050667377137,0.13145564910377772,0.0,-0.03263126584369594,-0.15737711611608773,0.0
0.02238455550292212,0.5356062731258362,0.0,0.005384231419659824,0.0585931547589027,0.0,-0.03553817353280353,-0.32385500757937535,0.0
0.10334081817758103,1.0930518184652342,0.0,0.06579167741851627,-0.7177752693751032,0.0,-0.019808990907504875,-0.12219750155708908,0.0
0.014143667476311572,0.7293328990514638,0.0,0.005265390511904833,-0.3412024142017174,0.0,-0.04169148173736803,-0.5198977837929917,0.0
0.0519279765391627,-0.3829402772991557,0.0,0.009274359843652602,-0.16431252574540167,0.0,-0.09991203120265787,-0.1887836980545856,0.0
0.07249310078491547,0.3071145567593945,0.0,0.033291295490351536,-0.16722343816234542,0.0,-0.05061172216057874,-0.15878099585563632,0.0
0.03561297732430224,0.31066158222550655,0.0,-0.0027660161963066754,0.06630136118975827,0.0,-0.04913077688158268,-0.03995907516075192,0.0
0.08788900368842487,-0.05991265719258365,0.0,-0.0524239212724017,0.15523834626113597,0.0,-0.055068707128407085,-0.06526060941399692,0.0
0.03917620933531435,0.27552189962286633,0.0,0.023261017542517137,0.03188523882557348,0.0,-0.06884087533377031,-0.5665598926508082,0.0
0.030792010816614312,0.18205383203056869,0.0,0.03165962498370967,-0.2131200542541336,0.0,-0.04004724170405477,-0.017173940801519905,0.0
